Title;Link;Budget;Gross US & Canada;Opening weekend US & Canada;Gross worldwide;Runtime;Color;Sound mix;Aspect ratio
Migration;https://www.imdb.com/title/tt6495056/?ref_=watch_tpks_tt_t_1_pd_tp1_pbr_ic;70000000;127306285;12453275;298614786;83;Color;Dolby Digital IMAX 6-Track Dolby Atmos 12-Track Digital Sound Auro 11.1 DTS:X;2.35 : 1
Trolls Band Together;https://www.imdb.com/title/tt14362112/?ref_=watch_tpks_tt_t_2_pd_tp1_pbr_ic;0;102996915;30002525;209349087;91;Color;12-Track Digital Sound Auro 11.1 DTS Dolby Atmos Dolby Digital;2.39 : 1
Kung Fu Panda;https://www.imdb.com/title/tt0441773/?ref_=watch_tpks_tt_t_3_pd_tp1_pbr_ic;130000000;215771591;60239130;632091832;92;Color;SDDS Dolby Digital DTS;2.39 : 1
Despicable Me 3;https://www.imdb.com/title/tt3469046/?ref_=watch_tpks_tt_t_4_pd_tp1_pbr_ic;80000000;264624300;72434025;1034800131;89;Color;SDDS Dolby Digital Auro 11.1 Dolby Surround 7.1 Dolby 12-Track Digital Sound Dolby Atmos DTS;2.39 : 1
Madagascar;https://www.imdb.com/title/tt0351283/?ref_=watch_tpks_tt_t_5_pd_tp1_pbr_ic;75000000;193595521;47224594;542063846;86;Color;DTS Dolby Digital SDDS;1.85 : 1
Minions;https://www.imdb.com/title/tt2293640/?ref_=watch_tpks_tt_t_6_pd_tp1_pbr_ic;74000000;336045770;115718405;1159457503;91;Color;Datasat SDDS Dolby Digital Dolby Atmos Auro 11.1 Dolby Surround 7.1 Dolby 12-Track Digital Sound;1.85 : 1
The Angry Birds Movie 2;https://www.imdb.com/title/tt6095472/?ref_=watch_tpks_tt_t_7_pd_tp1_pbr_ic;65000000;41667116;10354073;147792047;97;Color;Dolby Surround 7.1 Dolby Atmos Auro 11.1 DTS:X Dolby Digital D-Cinema 96kHz 7.1 12-Track Digital Sound;1.85 : 1
The Super Mario Bros. Movie;https://www.imdb.com/title/tt6718170/?ref_=watch_tpks_tt_t_8_pd_tp1_pbr_ic;100000000;574934330;146361865;1361992475;92;Color;Dolby Digital 12-Track Digital Sound Dolby Atmos IMAX 6-Track;2.39 : 1
Rio;https://www.imdb.com/title/tt1436562/?ref_=watch_tpks_tt_t_9_pd_tp1_pbr_ic;90000000;143619809;39225962;483866772;96;Color;Dolby Datasat SDDS Dolby Surround 7.1;2.35 : 1 2.39 : 1
Inside Out;https://www.imdb.com/title/tt2096673/?ref_=watch_tpks_tt_t_10_pd_tp1_pbr_ic;175000000;356921711;90440272;858852998;95;Color;Dolby Digital Datasat Dolby Atmos SDDS Dolby Surround 7.1 Auro 11.1 12-Track Digital Sound D-Cinema 48kHz Dolby Surround 7.1 D-Cinema 96kHz 7.1 D-Cinema 96kHz 5.1;1.78 : 1
Vivo;https://www.imdb.com/title/tt6338498/?ref_=watch_tpks_tt_t_11_pd_tp1_pbr_ic;0;0;0;278381;95;Color;Dolby Digital;2.39 : 1
IF;https://www.imdb.com/title/tt11152168/?ref_=watch_tpks_tt_t_12_pd_tp1_pbr_ic;110000000;84299263;33715801;141899263;104;Color;Dolby Digital D-Cinema 96kHz 7.1 Auro 11.1 Dolby Atmos 12-Track Digital Sound Dolby Surround 7.1;1:1.85 DCP flat
DC League of Super-Pets;https://www.imdb.com/title/tt8912936/?ref_=watch_tpks_tt_t_13_pd_tp1_pbr_ic;90000000;93657117;23003441;207557117;105;0;Dolby Digital Dolby Atmos;2.39:1
Garfield and Friends;https://www.imdb.com/title/tt0094469/?ref_=watch_tpks_tt_t_14_pd_tp1_pbr_ic;0;0;0;0;30;Color;Mono;1.33 : 1
Megamind;https://www.imdb.com/title/tt1001526/?ref_=watch_tpks_tt_t_15_pd_tp1_pbr_ic;130000000;148415853;46016833;321885765;95;Color;SDDS DTS Dolby Surround 7.1;2.39 : 1
Spies in Disguise;https://www.imdb.com/title/tt5814534/?ref_=watch_tpks_tt_t_16_pd_tp1_pbr_ic;100000000;66757013;13354798;171616764;102;Color;12-Track Digital Sound Dolby Digital Auro 11.1 Dolby Surround 7.1;2.35 : 1 2.39 : 1
Knuckles;https://www.imdb.com/title/tt18291136/?ref_=watch_tpks_tt_t_17_pd_tp1_pbr_ic;0;0;0;0;0;Color;Dolby Digital Dolby Atmos;2.39 : 1
Kung Fu Panda 4;https://www.imdb.com/title/tt21692408/?ref_=watch_tpks_tt_t_18_pd_tp1_pbr_ic;85000000;193579450;57989905;542334019;94;Color;Dolby Digital Dolby Atmos Dolby Surround 7.1 IMAX 6-Track Auro 11.1 D-Cinema 96kHz Dolby Surround 7.1 DTS:X 12-Track Digital Sound;1.85 : 1 2.39 : 1
Sonic Prime;https://www.imdb.com/title/tt13961348/?ref_=watch_tpks_tt_t_19_pd_tp1_pbr_ic;0;0;0;0;22;Color;Dolby Digital Dolby Atmos;1.78 : 1 16:9 HD
Incredibles 2;https://www.imdb.com/title/tt3606756/?ref_=watch_tpks_tt_t_20_pd_tp1_pbr_ic;200000000;608581744;182687905;1243225667;118;Color;Dolby Atmos Dolby Digital IMAX 6-Track Auro 11.1 Dolby Surround 7.1;2.39 : 1
Hotel Transylvania 2;https://www.imdb.com/title/tt2510894/?ref_=watch_tpks_tt_t_21_pd_tp1_pbr_ic;80000000;169700110;48464322;475186976;89;Color;Datasat Dolby Digital Dolby Surround 7.1 Dolby Atmos SDDS;1.85 : 1
Leo;https://www.imdb.com/title/tt5755238/?ref_=watch_tpks_tt_t_22_pd_tp1_pbr_ic;0;0;0;0;102;Color;Dolby Digital;2.00 : 1
